Elapsed Time,Voltage,Adjusted SoC
16980.579,3.57331,5.469013
16990.579,3.56781,5.330109
17000.579,3.56231,5.191219
17010.579,3.55585,5.052346
17020.579,3.5497,4.913478
17030.579,3.54323,4.774594
17040.579,3.53644,4.63569
17050.579,3.52932,4.496807
17060.579,3.52189,4.357931
17070.579,3.5138,4.219024
17080.579,3.50571,4.08013
17090.579,3.49698,3.941249
17100.579,3.48825,3.802381
17110.579,3.47887,3.663482
17120.579,3.46917,3.524586
17130.579,3.45882,3.385711
17140.579,3.4475,3.24681
17150.579,3.43618,3.107919
17160.579,3.42421,2.969025
17170.579,3.41127,2.830163
17180.579,3.39736,2.691271
17190.579,3.38281,2.552397
17200.579,3.36696,2.41352
17210.579,3.34982,2.274627
17220.579,3.33138,2.13575
17230.579,3.31165,1.996831
17240.579,3.28934,1.857952
17250.579,3.26411,1.719084
17260.579,3.23597,1.580221
17270.579,3.20265,1.441332
17280.579,3.16223,1.302434
17290.579,3.10304,1.16353
17300.579,3.00018,1.024637
17310.579,3.07328,1.019106
17320.579,3.09236,1.019102
17330.579,3.10562,1.019094
17340.579,3.11565,1.019105
17350.579,3.12374,1.019108
17360.579,3.13053,1.019094
17370.579,3.13667,1.019088
17380.579,3.14185,1.019079
17390.579,3.1467,1.019069
17400.579,3.15091,1.019078
17410.579,3.15479,1.019069
17420.579,3.15834,1.019063
17430.579,3.16126,1.019071
17440.579,3.16417,1.019069
17450.579,3.16675,1.019073
17460.579,3.16934,1.019069
17470.579,3.17161,1.019102
17480.579,3.17355,1.0191
17490.579,3.17549,1.019088
17500.579,3.17743,1.019105
17510.579,3.17904,1.019083
17520.579,3.18098,1.019106
17530.579,3.1826,1.019106
17540.579,3.18357,1.019104
17550.579,3.18519,1.019117
17560.579,3.18648,1.019103
17570.579,3.18778,1.019094
17580.579,3.18875,1.01909
17590.579,3.19004,1.019103
17600.579,3.19101,1.0191
17610.579,3.19198,1.019122
17620.579,3.19295,1.019147
17630.579,3.19392,1.019131
17640.579,3.19457,1.019138
17650.579,3.19554,1.019158
17660.579,3.19619,1.019145
17670.579,3.19716,1.019144
17680.579,3.1978,1.019153
17690.579,3.19845,1.019148
17700.579,3.1991,1.019155
17710.579,3.19974,1.019159
17720.579,3.20039,1.019135
17730.579,3.20104,1.019142
17740.579,3.20168,1.01915
17750.579,3.20233,1.019149
17760.579,3.20265,1.019161
17770.579,3.20298,1.019133
17780.579,3.20363,1.01912
17790.579,3.20427,1.019121
17800.579,3.2046,1.019128
17810.579,3.20524,1.019124
17820.579,3.20524,1.019129
17830.579,3.20621,1.01913
17840.579,3.20654,1.019133
17850.579,3.20718,1.019131
17860.579,3.20751,1.019146
17870.579,3.20783,1.019137
17880.579,3.20848,1.019137
17890.579,3.20848,1.019158
17900.579,3.20912,1.019158
17910.579,3.20945,1.019158
17920.579,3.20977,1.019145
17930.579,3.21042,1.019146
17940.579,3.21042,1.019145
17950.579,3.21074,1.019137
17960.579,3.21139,1.019133
17970.579,3.21139,1.019119
17980.579,3.21171,1.019121
17990.579,3.21171,1.019138
18000.579,3.21236,1.01913
18010.579,3.21268,1.019111
18020.579,3.21268,1.019109
18030.579,3.21333,1.019114
18040.579,3.21333,1.019106
